id,testGroup,storeLocType,storeAge,pop5mi,comp5mi,sumPre4_5,sumPost4_5,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52
1,Control,Urban - Standalone,8,388000,45,482317.6,1365542,26599,32843.8,34033.6,39016.8,33450.4,40950.4,32897.4,35677.8,29146.8,30328,40337.4,34445.2,34190,38401,25783,37743,32816,40176,36479,30241,34301,27885,38988,35657,26306,41372,36488,36547,29572,32456,31781,29615,28962,29485,28379,33750,28958,37321,37192,28414,30387,34054,29759,37072,31742,32878,53936,36278,34281,57402,58250,34435
2,Control,Suburban - Standalone,38,66000,45,200780.6,570797,12111.2,12021,11824.8,13036.4,13922.2,19791.2,16308.2,11873,15398.8,13328.2,17630.4,13527.6,16877.6,13130,11359,11778,11953,14035,15143,11523,13771,10869,13841,14992,10752,15233,14449,13898,15825,14799,15220,16035,11717,14139,13856,11408,11441,13822,15241,16400,15061,14378,15802,17080,17481,13700,15959,15367,14439,22062,24908,17931
3,Control,Urban - Standalone,36,13000,6,404050.2,1116678,25173.2,30301.6,30333.6,29409.2,26824.6,27151.8,24516.8,23214.8,27271.8,32677,32522.6,33078,32814.2,28761,25527,25739,26613,30133,24623,25612,28963,30288,28367,25851,25508,26180,21253,28851,22943,28610,26605,29511,29350,25013,31893,22213,26965,25744,32703,23781,25138,29634,34034,24745,31155,31002,31672,34319,29160,33762,50302,34155
4,Control,Suburban - Strip Mall,39,4000,8,282197.6,855344,16870.2,18393.2,22725.6,17295.6,23761.2,23466.4,20345.2,18163.8,20557.4,19155.4,20225.2,24060.2,17318.2,19860,17848,17867,23327,22588,19268,21053,19794,20584,22193,20687,17029,24090,20974,20749,19299,19215,23443,22078,23173,20374,18353,16603,24100,24199,18066,19226,21569,17736,21404,21518,22048,25954,31335,21852,26809,29779,35692,23608
5,Control,Suburban - Standalone,20,111000,3,407396.6,1137763,26848.8,31711.2,22756.4,33718.2,29786.6,28923.4,32837,26286,30330.2,28114,29264.4,33059,24065.4,29696,29828,26562,22072,26168,22347,31942,25251,21365,31091,22739,23754,28463,28111,29018,30253,23991,32051,25455,28571,31808,23523,25314,22547,25001,28798,27358,31507,24377,24050,31754,33727,31150,45528,29880,36486,36185,47857,42185
6,Control,Suburban - Standalone,36,269000,6,531478.8,1536161,34960.6,29988.2,35721.2,43926.2,30125.6,49085.4,37337,42062.6,30799.2,30950.6,41672.2,45575,43468,35807,34697,36821,39380,42178,31484,36518,38830,30358,41560,38394,38110,33129,37315,40293,41252,30530,36981,32933,35004,37483,31865,31625,37586,41072,35981,37474,44458,44031,38320,38263,38629,48944,49283,45338,40528,54959,61246,47502
7,Control,Urban - Standalone,22,115000,3,390392.2,1135793,22969.8,27476,27832,25021.4,28864.2,31953.4,28594,30367,24335.4,29478.4,30480.6,30042.2,29693.8,23284,24020,26502,27980,35008,22984,22114,27338,27256,25389,24401,28441,35556,28149,24841,28957,27696,23275,22900,27766,31942,26767,24356,32581,25250,25703,31679,33014,34164,25359,35526,32136,30030,31906,32562,32122,40670,43380,32789
8,7B,Urban - Standalone,29,369000,8,457940.4,1242413,24598.6,26124,34509.8,32745,35164.4,45218.4,32890,33176.6,34656,29322,33845.4,31815,35150.2,28725,25920,34351,29716,36766,33617,30891,24655,29760,29744,28255,27463,29560,23733,29958,27637,24131,26239,25960,30535,27889,35466,35400,33958,36267,33169,29932,33445,31481,33116,32205,38427,28805,43829,33142,41789,37049,47709,31719
9,Control,Suburban - Standalone,26,279000,7,466345.4,1279169,33609.4,31258.6,31057.2,36919.8,24551.8,40946.2,33549.4,32479,33799,35710.4,34509.2,32350.4,34310,31295,23686,28072,28594,30091,28749,34168,33743,26441,25444,26924,32965,31133,31394,30775,32183,31672,25764,31685,32007,36921,36567,34129,29545,29795,36307,34979,27125,27979,28652,29914,39624,41107,44489,31769,41454,43037,48877,40114
10,Control,Suburban - Strip Mall,37,30000,59,359326,1024554,20839.8,23252.4,22929.6,28037.6,28405.4,30714,21981.8,26754.2,22155.4,29507.6,25556.6,27278.6,25074,26839,24294,20861,27614,27225,22305,25946,22268,26513,22285,21778,23415,28096,27703,22473,24574,26059,27545,20718,22052,29502,26737,21232,21763,27614,24688,22468,26464,29187,25927,27794,28998,31703,40541,21954,22978,39174,37383,27884
11,7B,Suburban - Standalone,29,53000,1,287963.2,769147,16607.6,22351.4,16120.4,23464.6,20985.4,21142.6,22972.8,21891.6,23157.8,21752,22006,21420.8,19057.2,15033,15841,19051,21068,21907,20362,19310,16099,20941,17702,15737,17224,19449,18500,18241,16420,16065,19357,16957,18938,20811,16596,21907,19973,15564,16020,21670,16088,18968,19852,22463,22568,26093,22486,20923,20994,24727,29920,27322
