id,testGroup,storeLocType,storeAge,pop5mi,comp5mi
1,Control,Urban - Standalone,8,388000,45
2,Control,Suburban - Standalone,38,66000,45
3,Control,Urban - Standalone,36,13000,6
4,Control,Suburban - Strip Mall,39,4000,8
5,Control,Suburban - Standalone,20,111000,3
6,Control,Suburban - Standalone,36,269000,6
7,Control,Urban - Standalone,22,115000,3
9,Control,Suburban - Standalone,26,279000,7
10,Control,Suburban - Strip Mall,37,30000,59
13,Control,Suburban - Standalone,35,151000,18
14,Control,Rural - Standalone,15,55000,63
15,Control,Suburban - Standalone,30,8000,50
18,Control,Urban - Strip Mall,35,298000,10
20,Control,Urban - Strip Mall,39,75000,6
22,Control,Urban - Standalone,9,161000,4
23,Control,Rural - Strip Mall,14,55000,1
25,Control,Suburban - Standalone,3,4000,18
26,Control,Urban - Standalone,16,276000,12
27,Control,Metropolitan - Standalone,21,135000,63
28,Control,Suburban - Standalone,20,6000,6
29,Control,Suburban - Strip Mall,4,91000,3
30,Control,Suburban - Standalone,36,136000,6
32,Control,Urban - Strip Mall,36,391000,106
33,Control,Urban - Strip Mall,24,25000,33
34,Control,Metropolitan - Standalone,30,402000,37
35,Control,Suburban - Standalone,13,5000,35
36,Control,Suburban - Standalone,9,25000,28
37,Control,Suburban - Strip Mall,27,6000,0
38,Control,Suburban - Strip Mall,4,345000,21
39,Control,Suburban - Standalone,9,5000,16
40,Control,Urban - Standalone,11,25000,14
41,Control,Urban - Strip Mall,9,19000,15
42,Control,Suburban - Strip Mall,11,19000,1
43,Control,Rural - Standalone,14,6000,30
44,Control,Suburban - Strip Mall,4,94000,26
46,Control,Suburban - Strip Mall,7,71000,26
47,Control,Urban - Standalone,17,97000,8
48,Control,Suburban - Standalone,40,3000,12
49,Control,Metropolitan - Strip Mall,41,442000,11
51,Control,Urban - Standalone,40,26000,88
52,Control,Urban - Standalone,35,75000,27
54,Control,Metropolitan - Strip Mall,28,12000,39
55,Control,Suburban - Strip Mall,38,111000,3
56,Control,Suburban - Standalone,31,14000,5
58,Control,Rural - Strip Mall,25,30000,1
60,Control,Metropolitan - Standalone,21,69000,53
61,Control,Urban - Strip Mall,7,214000,5
62,Control,Suburban - Strip Mall,31,12000,1
63,Control,Suburban - Strip Mall,17,32000,25
64,Control,Rural - Standalone,33,35000,2
65,Control,Rural - Standalone,21,46000,52
66,Control,Urban - Standalone,39,453000,43
67,Control,Suburban - Strip Mall,32,115000,58
68,Control,Rural - Strip Mall,38,21000,1
69,Control,Suburban - Strip Mall,18,384000,8
70,Control,Suburban - Standalone,8,7000,1
72,Control,Urban - Standalone,27,75000,54
73,Control,Metropolitan - Standalone,27,49000,103
74,Control,Suburban - Standalone,15,113000,18
76,Control,Urban - Strip Mall,17,725000,41
77,Control,Suburban - Standalone,27,276000,6
78,Control,Suburban - Strip Mall,2,259000,74
79,Control,Urban - Standalone,39,129000,3
80,Control,Suburban - Strip Mall,30,203000,9
81,Control,Urban - Strip Mall,23,189000,88
82,Control,Rural - Standalone,12,50000,26
83,Control,Suburban - Strip Mall,27,23000,1
84,Control,Urban - Strip Mall,36,157000,40
85,Control,Suburban - Standalone,16,5000,6
86,Control,Suburban - Standalone,11,441000,10
88,Control,Suburban - Standalone,23,469000,11
90,Control,Rural - Standalone,21,116000,9
91,Control,Suburban - Strip Mall,1,137000,27
92,Control,Suburban - Standalone,8,472000,29
93,Control,Rural - Strip Mall,22,273000,61
94,Control,Rural - Strip Mall,21,405000,59
95,Control,Urban - Standalone,39,450000,28
96,Control,Rural - Standalone,17,123000,16
97,Control,Urban - Standalone,25,8000,4
99,Control,Urban - Standalone,10,64000,27
100,Control,Suburban - Strip Mall,6,21000,7
105,Control,Suburban - Strip Mall,5,243000,12
106,Control,Rural - Standalone,25,298000,18
107,Control,Rural - Strip Mall,37,5000,10
108,Control,Urban - Strip Mall,19,48000,4
109,Control,Suburban - Strip Mall,19,412000,8
110,Control,Suburban - Strip Mall,10,6000,23
111,Control,Urban - Strip Mall,11,105000,9
112,Control,Suburban - Standalone,36,220000,14
113,Control,Rural - Standalone,13,241000,5
114,Control,Suburban - Strip Mall,14,21000,1
