id,testGroup,storeLocType,storeAge,pop5mi,comp5mi
450,7B,Metropolitan - Strip Mall,25,442000,11
223,7A,Metropolitan - Strip Mall,20,11000,13
323,8B,Metropolitan - Strip Mall,33,110000,24
398,8B,Metropolitan - Strip Mall,40,273000,12
49,Control,Metropolitan - Strip Mall,41,442000,11
54,Control,Metropolitan - Strip Mall,28,12000,39
115,Control,Metropolitan - Strip Mall,25,384000,9
143,Control,Metropolitan - Strip Mall,41,94000,2
146,Control,Metropolitan - Strip Mall,33,19000,1
150,Control,Metropolitan - Strip Mall,24,24000,5
151,Control,Metropolitan - Strip Mall,39,221000,90
166,Control,Metropolitan - Strip Mall,22,208000,7
218,Control,Metropolitan - Strip Mall,28,204000,9
220,Control,Metropolitan - Strip Mall,17,7000,6
321,Control,Metropolitan - Strip Mall,33,700000,3
328,Control,Metropolitan - Strip Mall,22,263000,62
367,Control,Metropolitan - Strip Mall,29,1000000,95
431,Control,Metropolitan - Strip Mall,35,5000,7
