id,testGroup,storeLocType,storeAge,pop5mi,comp5mi
252,7A,Rural - Standalone,18,26000,1
324,7A,Rural - Standalone,12,17000,39
429,7A,Rural - Standalone,19,16000,0
101,7B,Rural - Standalone,11,55000,26
169,8B,Rural - Standalone,16,4000,6
455,8B,Rural - Standalone,30,13000,11
249,8A,Rural - Standalone,31,114000,63
257,8A,Rural - Standalone,14,17000,14
14,Control,Rural - Standalone,15,55000,63
43,Control,Rural - Standalone,14,6000,30
64,Control,Rural - Standalone,33,35000,2
65,Control,Rural - Standalone,21,46000,52
82,Control,Rural - Standalone,12,50000,26
90,Control,Rural - Standalone,21,116000,9
96,Control,Rural - Standalone,17,123000,16
106,Control,Rural - Standalone,25,298000,18
113,Control,Rural - Standalone,13,241000,5
126,Control,Rural - Standalone,23,55000,2
127,Control,Rural - Standalone,13,58000,61
145,Control,Rural - Standalone,35,396000,50
170,Control,Rural - Standalone,29,325000,36
217,Control,Rural - Standalone,19,223000,10
258,Control,Rural - Standalone,11,52000,7
266,Control,Rural - Standalone,12,398000,9
283,Control,Rural - Standalone,15,5000,6
332,Control,Rural - Standalone,32,182000,19
350,Control,Rural - Standalone,41,11000,2
368,Control,Rural - Standalone,28,436000,22
376,Control,Rural - Standalone,16,171000,12
407,Control,Rural - Standalone,15,380000,18
414,Control,Rural - Standalone,41,281000,9
428,Control,Rural - Standalone,39,6000,9
441,Control,Rural - Standalone,12,351000,11
442,Control,Rural - Standalone,27,4000,36
