id,testGroup,storeLocType,storeAge,pop5mi,comp5mi
344,7A,Rural - Strip Mall,20,57000,3
163,8B,Rural - Strip Mall,25,30000,5
365,8B,Rural - Strip Mall,16,257000,16
402,8B,Rural - Strip Mall,13,316000,22
19,8A,Rural - Strip Mall,22,35000,20
158,8A,Rural - Strip Mall,38,144000,9
23,Control,Rural - Strip Mall,14,55000,1
58,Control,Rural - Strip Mall,25,30000,1
68,Control,Rural - Strip Mall,38,21000,1
93,Control,Rural - Strip Mall,22,273000,61
94,Control,Rural - Strip Mall,21,405000,59
107,Control,Rural - Strip Mall,37,5000,10
134,Control,Rural - Strip Mall,11,317000,22
161,Control,Rural - Strip Mall,37,179000,9
181,Control,Rural - Strip Mall,24,27000,3
205,Control,Rural - Strip Mall,21,4000,1
216,Control,Rural - Strip Mall,39,106000,18
231,Control,Rural - Strip Mall,34,279000,30
261,Control,Rural - Strip Mall,26,80000,13
271,Control,Rural - Strip Mall,14,54000,6
279,Control,Rural - Strip Mall,38,334000,65
295,Control,Rural - Strip Mall,21,2000,7
408,Control,Rural - Strip Mall,12,94000,14
465,Control,Rural - Strip Mall,11,46000,2
