id,testGroup,storeLocType,storeAge,pop5mi,comp5mi
277,7B,Suburban - Strip Mall,39,37000,4
404,7B,Suburban - Strip Mall,32,70000,14
448,7B,Suburban - Strip Mall,7,55000,2
466,7B,Suburban - Strip Mall,13,376000,28
188,7A,Suburban - Strip Mall,21,436000,21
267,7A,Suburban - Strip Mall,28,94000,3
281,7A,Suburban - Strip Mall,15,17000,3
351,7A,Suburban - Strip Mall,17,313000,9
412,7A,Suburban - Strip Mall,20,233000,10
168,7B,Suburban - Strip Mall,40,14000,34
248,7B,Suburban - Strip Mall,3,268000,70
389,7B,Suburban - Strip Mall,9,239000,77
50,8B,Suburban - Strip Mall,10,134000,6
337,8B,Suburban - Strip Mall,23,365000,24
374,8B,Suburban - Strip Mall,7,73000,7
425,8B,Suburban - Strip Mall,34,437000,11
17,8A,Suburban - Strip Mall,18,117000,25
24,8A,Suburban - Strip Mall,31,5000,8
89,8A,Suburban - Strip Mall,28,51000,5
345,8A,Suburban - Strip Mall,27,28000,2
366,8A,Suburban - Strip Mall,16,404000,9
436,8A,Suburban - Strip Mall,27,262000,6
4,Control,Suburban - Strip Mall,39,4000,8
10,Control,Suburban - Strip Mall,37,30000,59
29,Control,Suburban - Strip Mall,4,91000,3
37,Control,Suburban - Strip Mall,27,6000,0
38,Control,Suburban - Strip Mall,4,345000,21
42,Control,Suburban - Strip Mall,11,19000,1
44,Control,Suburban - Strip Mall,4,94000,26
46,Control,Suburban - Strip Mall,7,71000,26
55,Control,Suburban - Strip Mall,38,111000,3
62,Control,Suburban - Strip Mall,31,12000,1
63,Control,Suburban - Strip Mall,17,32000,25
67,Control,Suburban - Strip Mall,32,115000,58
69,Control,Suburban - Strip Mall,18,384000,8
78,Control,Suburban - Strip Mall,2,259000,74
80,Control,Suburban - Strip Mall,30,203000,9
83,Control,Suburban - Strip Mall,27,23000,1
91,Control,Suburban - Strip Mall,1,137000,27
100,Control,Suburban - Strip Mall,6,21000,7
105,Control,Suburban - Strip Mall,5,243000,12
109,Control,Suburban - Strip Mall,19,412000,8
110,Control,Suburban - Strip Mall,10,6000,23
114,Control,Suburban - Strip Mall,14,21000,1
118,Control,Suburban - Strip Mall,5,123000,4
123,Control,Suburban - Strip Mall,2,173000,7
124,Control,Suburban - Strip Mall,35,20000,67
130,Control,Suburban - Strip Mall,9,158000,13
147,Control,Suburban - Strip Mall,27,57000,3
153,Control,Suburban - Strip Mall,12,5000,6
156,Control,Suburban - Strip Mall,33,4000,37
160,Control,Suburban - Strip Mall,19,66000,67
167,Control,Suburban - Strip Mall,39,36000,9
182,Control,Suburban - Strip Mall,4,468000,88
184,Control,Suburban - Strip Mall,3,206000,5
191,Control,Suburban - Strip Mall,34,35000,19
203,Control,Suburban - Strip Mall,14,165000,5
210,Control,Suburban - Strip Mall,17,459000,58
222,Control,Suburban - Strip Mall,21,217000,17
227,Control,Suburban - Strip Mall,17,182000,10
228,Control,Suburban - Strip Mall,38,31000,54
232,Control,Suburban - Strip Mall,27,24000,1
236,Control,Suburban - Strip Mall,24,189000,84
240,Control,Suburban - Strip Mall,40,336000,53
253,Control,Suburban - Strip Mall,19,38000,2
254,Control,Suburban - Strip Mall,28,223000,10
265,Control,Suburban - Strip Mall,3,486000,71
269,Control,Suburban - Strip Mall,23,172000,18
272,Control,Suburban - Strip Mall,9,121000,61
282,Control,Suburban - Strip Mall,4,9000,17
288,Control,Suburban - Strip Mall,31,49000,58
290,Control,Suburban - Strip Mall,10,225000,21
291,Control,Suburban - Strip Mall,14,112000,21
292,Control,Suburban - Strip Mall,24,45000,5
293,Control,Suburban - Strip Mall,33,396000,12
299,Control,Suburban - Strip Mall,40,90000,49
301,Control,Suburban - Strip Mall,7,303000,8
304,Control,Suburban - Strip Mall,19,73000,40
310,Control,Suburban - Strip Mall,10,45000,40
311,Control,Suburban - Strip Mall,29,26000,10
315,Control,Suburban - Strip Mall,16,289000,7
327,Control,Suburban - Strip Mall,39,153000,22
329,Control,Suburban - Strip Mall,37,366000,17
336,Control,Suburban - Strip Mall,22,41000,57
339,Control,Suburban - Strip Mall,30,90000,63
342,Control,Suburban - Strip Mall,1,47000,15
348,Control,Suburban - Strip Mall,34,287000,7
358,Control,Suburban - Strip Mall,38,19000,2
360,Control,Suburban - Strip Mall,2,140000,13
373,Control,Suburban - Strip Mall,4,25000,24
379,Control,Suburban - Strip Mall,39,20000,1
385,Control,Suburban - Strip Mall,25,370000,19
388,Control,Suburban - Strip Mall,2,277000,6
390,Control,Suburban - Strip Mall,37,7000,15
401,Control,Suburban - Strip Mall,7,57000,17
405,Control,Suburban - Strip Mall,40,46000,1
406,Control,Suburban - Strip Mall,8,34000,5
417,Control,Suburban - Strip Mall,38,81000,3
421,Control,Suburban - Strip Mall,27,127000,50
446,Control,Suburban - Strip Mall,29,17000,0
453,Control,Suburban - Strip Mall,25,96000,11
463,Control,Suburban - Strip Mall,17,416000,96
474,Control,Suburban - Strip Mall,40,242000,38
482,Control,Suburban - Strip Mall,36,8000,0
