id,testGroup,storeLocType,storeAge,pop5mi,comp5mi
8,7B,Urban - Standalone,29,369000,8
45,7B,Urban - Standalone,18,225000,32
53,7B,Urban - Standalone,6,222000,6
334,7B,Urban - Standalone,8,39000,35
104,7A,Urban - Standalone,33,193000,8
173,7A,Urban - Standalone,31,264000,43
326,7A,Urban - Standalone,9,177000,12
378,7A,Urban - Standalone,9,14000,2
468,7A,Urban - Standalone,18,33000,4
473,7A,Urban - Standalone,24,321000,11
180,7B,Urban - Standalone,33,103000,8
377,7B,Urban - Standalone,24,5000,2
207,8B,Urban - Standalone,17,268000,42
262,8B,Urban - Standalone,5,5000,16
308,8B,Urban - Standalone,32,32000,6
375,8B,Urban - Standalone,13,10000,0
384,8B,Urban - Standalone,33,9000,2
472,8B,Urban - Standalone,14,18000,1
229,8B,Urban - Standalone,10,38000,31
87,8A,Urban - Standalone,30,8000,38
138,8A,Urban - Standalone,17,243000,12
152,8A,Urban - Standalone,6,28000,111
185,8A,Urban - Standalone,16,168000,64
245,8A,Urban - Standalone,6,42000,1
399,8A,Urban - Standalone,19,53000,26
1,Control,Urban - Standalone,8,388000,45
3,Control,Urban - Standalone,36,13000,6
7,Control,Urban - Standalone,22,115000,3
22,Control,Urban - Standalone,9,161000,4
26,Control,Urban - Standalone,16,276000,12
40,Control,Urban - Standalone,11,25000,14
47,Control,Urban - Standalone,17,97000,8
51,Control,Urban - Standalone,40,26000,88
52,Control,Urban - Standalone,35,75000,27
66,Control,Urban - Standalone,39,453000,43
72,Control,Urban - Standalone,27,75000,54
79,Control,Urban - Standalone,39,129000,3
95,Control,Urban - Standalone,39,450000,28
97,Control,Urban - Standalone,25,8000,4
99,Control,Urban - Standalone,10,64000,27
119,Control,Urban - Standalone,24,446000,65
120,Control,Urban - Standalone,22,89000,5
122,Control,Urban - Standalone,41,119000,9
125,Control,Urban - Standalone,11,6000,79
131,Control,Urban - Standalone,8,67000,3
133,Control,Urban - Standalone,26,73000,2
142,Control,Urban - Standalone,38,51000,2
149,Control,Urban - Standalone,6,106000,15
178,Control,Urban - Standalone,5,49000,37
183,Control,Urban - Standalone,18,104000,59
189,Control,Urban - Standalone,12,86000,3
190,Control,Urban - Standalone,8,299000,11
194,Control,Urban - Standalone,13,25000,20
197,Control,Urban - Standalone,24,159000,8
198,Control,Urban - Standalone,41,160000,10
202,Control,Urban - Standalone,7,172000,4
209,Control,Urban - Standalone,17,183000,4
219,Control,Urban - Standalone,7,72000,13
226,Control,Urban - Standalone,7,342000,8
233,Control,Urban - Standalone,25,340000,38
235,Control,Urban - Standalone,9,10000,16
237,Control,Urban - Standalone,6,28000,6
243,Control,Urban - Standalone,15,343000,26
255,Control,Urban - Standalone,7,349000,11
260,Control,Urban - Standalone,7,481000,30
274,Control,Urban - Standalone,37,6000,2
276,Control,Urban - Standalone,13,406000,73
284,Control,Urban - Standalone,41,64000,2
294,Control,Urban - Standalone,13,25000,1
306,Control,Urban - Standalone,31,216000,5
320,Control,Urban - Standalone,18,470000,55
322,Control,Urban - Standalone,32,340000,23
325,Control,Urban - Standalone,36,143000,4
335,Control,Urban - Standalone,20,342000,15
370,Control,Urban - Standalone,27,327000,10
383,Control,Urban - Standalone,8,12000,33
391,Control,Urban - Standalone,13,226000,46
397,Control,Urban - Standalone,34,5000,1
415,Control,Urban - Standalone,25,57000,30
419,Control,Urban - Standalone,5,5000,0
426,Control,Urban - Standalone,6,149000,63
432,Control,Urban - Standalone,25,145000,7
438,Control,Urban - Standalone,26,236000,11
444,Control,Urban - Standalone,29,71000,18
449,Control,Urban - Standalone,14,52000,2
452,Control,Urban - Standalone,5,345000,14
457,Control,Urban - Standalone,23,184000,7
469,Control,Urban - Standalone,24,484000,74
470,Control,Urban - Standalone,11,418000,96
480,Control,Urban - Standalone,38,278000,102
