id,testGroup,storeLocType,storeAge,pop5mi,comp5mi
200,7B,Urban - Strip Mall,5,118000,39
302,7B,Urban - Strip Mall,22,270000,55
440,7B,Urban - Strip Mall,19,28000,3
21,7A,Urban - Strip Mall,24,12000,96
31,7A,Urban - Strip Mall,13,30000,1
71,7A,Urban - Strip Mall,21,400000,31
400,7A,Urban - Strip Mall,24,66000,33
238,7B,Urban - Strip Mall,6,57000,22
246,8B,Urban - Strip Mall,21,480000,23
286,8B,Urban - Strip Mall,30,60000,2
330,8B,Urban - Strip Mall,38,6000,1
475,8B,Urban - Strip Mall,16,209000,76
12,8B,Urban - Strip Mall,9,390000,10
16,8A,Urban - Strip Mall,28,66000,1
221,8A,Urban - Strip Mall,26,6000,56
403,8A,Urban - Strip Mall,37,189000,7
413,8A,Urban - Strip Mall,37,377000,9
18,Control,Urban - Strip Mall,35,298000,10
20,Control,Urban - Strip Mall,39,75000,6
32,Control,Urban - Strip Mall,36,391000,106
33,Control,Urban - Strip Mall,24,25000,33
41,Control,Urban - Strip Mall,9,19000,15
61,Control,Urban - Strip Mall,7,214000,5
76,Control,Urban - Strip Mall,17,725000,41
81,Control,Urban - Strip Mall,23,189000,88
84,Control,Urban - Strip Mall,36,157000,40
108,Control,Urban - Strip Mall,19,48000,4
111,Control,Urban - Strip Mall,11,105000,9
121,Control,Urban - Strip Mall,6,213000,97
140,Control,Urban - Strip Mall,15,475000,11
148,Control,Urban - Strip Mall,8,147000,13
157,Control,Urban - Strip Mall,18,339000,19
186,Control,Urban - Strip Mall,6,113000,10
193,Control,Urban - Strip Mall,19,318000,9
195,Control,Urban - Strip Mall,6,132000,13
204,Control,Urban - Strip Mall,8,124000,4
212,Control,Urban - Strip Mall,8,64000,2
230,Control,Urban - Strip Mall,13,6000,1
247,Control,Urban - Strip Mall,9,193000,11
250,Control,Urban - Strip Mall,5,206000,18
285,Control,Urban - Strip Mall,34,281000,13
289,Control,Urban - Strip Mall,40,22000,35
307,Control,Urban - Strip Mall,16,139000,57
331,Control,Urban - Strip Mall,6,133000,7
338,Control,Urban - Strip Mall,33,8000,9
346,Control,Urban - Strip Mall,31,39000,71
359,Control,Urban - Strip Mall,21,230000,12
369,Control,Urban - Strip Mall,13,109000,3
371,Control,Urban - Strip Mall,10,267000,18
409,Control,Urban - Strip Mall,10,251000,16
418,Control,Urban - Strip Mall,21,5000,0
439,Control,Urban - Strip Mall,30,196000,82
443,Control,Urban - Strip Mall,31,377000,9
445,Control,Urban - Strip Mall,34,23000,56
451,Control,Urban - Strip Mall,36,70000,4
458,Control,Urban - Strip Mall,7,5000,14
462,Control,Urban - Strip Mall,30,5000,1
479,Control,Urban - Strip Mall,29,24000,3
